,exp_name,prune_ratio,head_acc,med_acc,tail_acc,total_acc
0,GraNd30_series_.csv,0-0-0-0-0-0-0-0-0-0,0.859000007311503,0.6218000054359436,0.4130000025033951,0.6512000054121018
1,GraNd30_series_.csv,0.1-0.1-0.1-0-0-0-0-0-0-0,0.8406666914621989,0.6352000117301941,0.4460000097751617,0.659000015258789
2,GraNd30_series_.csv,0.2-0.2-0.2-0-0-0-0-0-0-0,0.8263333241144816,0.6257999897003174,0.4594999998807907,0.6526999920606613
3,GraNd30_series_.csv,0.3-0.3-0.3-0-0-0-0-0-0-0,0.8003333409627279,0.6120000123977661,0.4640000015497207,0.6389000087976455
4,GraNd30_series_.csv,0.4-0.4-0.4-0-0-0-0-0-0-0,0.7976666490236918,0.6350000143051148,0.5174999833106995,0.6602999985218048
5,GraNd30_series_.csv,0.5-0.5-0.5-0-0-0-0-0-0-0,0.7900000015894572,0.6486000061035156,0.5169999897480011,0.6647000014781952
6,GraNd30_series_.csv,0.6-0.6-0.6-0-0-0-0-0-0-0,0.7490000128746033,0.6398000121116638,0.534500002861023,0.6515000104904175
7,GraNd30_series_.csv,0.7-0.7-0.7-0-0-0-0-0-0-0,0.722000002861023,0.6519999980926514,0.5249999761581421,0.647599995136261
8,GraNd30_series_.csv,0.8-0.8-0.8-0-0-0-0-0-0-0,0.6256666680177053,0.6514000058174133,0.5869999825954437,0.630799999833107
9,GraNd30_series_.csv,0.9-0.9-0.9-0-0-0-0-0-0-0,0.4723333319028218,0.6562000036239624,0.6165000200271606,0.5931000053882599
