,exp_name,prune_ratio,head_acc,med_acc,tail_acc,total_acc
0,GraNd30_series_.csv,0-0-0-0-0-0-0-0-0-0,0.8700000047683716,0.6222000062465668,0.4089999943971634,0.6539000034332275
1,GraNd30_series_.csv,0.1-0.1-0.1-0-0-0-0-0-0-0,0.856333335240682,0.6287999987602234,0.4619999974966049,0.6636999994516373
2,GraNd30_series_.csv,0.2-0.2-0.2-0-0-0-0-0-0-0,0.8483333190282186,0.6341999888420105,0.4494999945163727,0.6614999890327453
3,GraNd30_series_.csv,0.3-0.3-0.3-0-0-0-0-0-0-0,0.8073333303133646,0.6010000050067902,0.4490000009536743,0.6325000017881394
4,GraNd30_series_.csv,0.4-0.4-0.4-0-0-0-0-0-0-0,0.8143333395322164,0.6374000072479248,0.4745000004768371,0.6579000055789948
5,GraNd30_series_.csv,0.5-0.5-0.5-0-0-0-0-0-0-0,0.7943333387374878,0.6321999967098236,0.4970000088214874,0.6538000017404556
6,GraNd30_series_.csv,0.6-0.6-0.6-0-0-0-0-0-0-0,0.7713333368301392,0.6398000001907349,0.5239999890327454,0.6560999989509583
7,GraNd30_series_.csv,0.7-0.7-0.7-0-0-0-0-0-0-0,0.7236666679382324,0.6418000102043152,0.5525000095367432,0.6485000073909759
8,GraNd30_series_.csv,0.8-0.8-0.8-0-0-0-0-0-0-0,0.662333349386851,0.6479999899864197,0.6055000126361847,0.643800002336502
9,GraNd30_series_.csv,0.9-0.9-0.9-0-0-0-0-0-0-0,0.5416666766007742,0.658400011062622,0.6464999914169312,0.6210000067949295
